type,time,x,y
GROUND,1752846574.3281488,-0.6772559734428363,0.19372051189803507
GROUND,1752846574.3403368,-0.6823870306911561,0.1906280477143918
GROUND,1752846574.3520067,-0.6877766657295781,0.18725136368812068
GROUND,1752846574.3642018,-0.6932460223650283,0.1833562483842005
GROUND,1752846574.375836,-0.6988003497776396,0.17951373422108452
GROUND,1752846574.3878262,-0.7041529685893266,0.17557056859450193
GROUND,1752846574.4003634,-0.7090970472152569,0.17205548583039687
GROUND,1752846574.4119911,-0.713890949583269,0.16968533125840402
GROUND,1752846574.4242768,-0.718524075716841,0.1678333628690465
GROUND,1752846574.436005,-0.7231119036540712,0.16678182596076008
GROUND,1752846574.448239,-0.727593506444113,0.16611579377704133
GROUND,1752846574.4600372,-0.7319740261195207,0.16525825987386278
GROUND,1752846574.4722044,-0.7364594947466896,0.1640683751574168
GROUND,1752846574.4838462,-0.7412184013677625,0.1625651685390389
GROUND,1752846574.496155,-0.7460492406056485,0.16078695510365337
GROUND,1752846574.5082831,-0.7509569806558691,0.15779974775181616
GROUND,1752846574.520073,-0.7562466052673456,0.1543586694892407
GROUND,1752846574.5318215,-0.7616119002111643,0.14976074188838562
GROUND,1752846574.5439944,-0.7671723342963332,0.14459436391991987
GROUND,1752846574.5557408,-0.7726606660784308,0.1398119100648354
GROUND,1752846574.5679102,-0.7777527476835988,0.13447263594338066
GROUND,1752846574.5801766,-0.7827813438531028,0.12974229050542185
GROUND,1752846574.5924296,-0.787780347078062,0.12589156018971703
GROUND,1752846574.6040478,-0.792536470674654,0.12134103192899537
GROUND,1752846574.6162252,-0.797404076188255,0.11769158183756179
GROUND,1752846574.6283557,-0.8018261409079652,0.11369226102982133
GROUND,1752846574.639973,-0.8062352314037113,0.10832507230904564
GROUND,1752846574.6521628,-0.8111226035035368,0.1041018353595824
GROUND,1752846574.6643271,-0.8162826142024537,0.09845878659410223
GROUND,1752846574.6759772,-0.8215717729711602,0.09148409056517481
GROUND,1752846574.6880467,-0.8268201771192607,0.08341265581017221
